[06/14/2021 10:36:14 PM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 10:36:17 PM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 10:36:17 PM][ INFO    ] TSL storage extension loaded.
[06/14/2021 10:36:17 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 10:36:17 PM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 10:36:17 PM][ INFO    ] Scanning for startup tasks.
[06/14/2021 10:36:17 PM][ INFO    ] EventLoop: Starting.
[06/14/2021 10:36:17 PM][ INFO    ] Listening endpoint :5305
[06/14/2021 10:36:17 PM][ INFO    ] Waiting for client connection ...
[06/14/2021 10:36:17 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/14/2021 10:36:17 PM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 10:36:17 PM][ INFO    ] *****************************************************
[06/14/2021 10:36:17 PM][ INFO    ] ServerCount: 0
[06/14/2021 10:36:17 PM][ INFO    ] ProxyCount: 0
[06/14/2021 10:36:17 PM][ INFO    ] *****************************************************
[06/14/2021 10:36:17 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 10:36:18 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 10:36:18 PM][ INFO    ] Initializing logging facility
[06/14/2021 10:36:18 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_105.dat
[06/14/2021 10:36:18 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 10:36:18 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 10:36:18 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 10:36:18 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 10:36:18 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 10:36:18 PM][ INFO    ] LoggingLevel: Info
[06/14/2021 10:36:18 PM][ INFO    ] HttpPort:     8081
[06/14/2021 10:36:18 PM][ INFO    ] Server 0 is successfully started.
[06/14/2021 10:36:18 PM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 10:36:20 PM][ INFO    ] Load storage complete, image version = 104
[06/14/2021 10:36:20 PM][ INFO    ] Initializing logging facility
[06/14/2021 10:36:20 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_105.dat
[06/14/2021 10:36:20 PM][ INFO    ] Reading log file.
[06/14/2021 10:36:20 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/14/2021 10:36:20 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_104.dat
[06/14/2021 10:36:20 PM][ INFO    ] Loading cell type signatures.
[06/14/2021 10:37:01 PM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 10:37:04 PM][ INFO    ] Save storage complete, image version = 105.
[06/14/2021 10:37:04 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_105.dat
[06/14/2021 10:37:04 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_104.dat
[06/14/2021 10:37:04 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:37:15 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 10:37:17 PM][ INFO    ] Save storage complete, image version = 106.
[06/14/2021 10:37:17 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_106.dat
[06/14/2021 10:37:17 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_105.dat
[06/14/2021 10:37:17 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:39:09 PM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 10:39:11 PM][ INFO    ] Save storage complete, image version = 107.
[06/14/2021 10:39:11 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_107.dat
[06/14/2021 10:39:11 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_106.dat
[06/14/2021 10:39:11 PM][ INFO    ] Saving cell type signatures.
[06/14/2021 10:39:27 PM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 10:39:29 PM][ INFO    ] Save storage complete, image version = 108.
[06/14/2021 10:39:29 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_108.dat
[06/14/2021 10:39:30 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_107.dat
[06/14/2021 10:39:30 PM][ INFO    ] Saving cell type signatures.
