[06/11/2021 07:54:25 AM][ INFO    ] Loading Graph Engine Extensions.
[06/11/2021 07:54:28 AM][ INFO    ] Scanning for TSL storage extension.
[06/11/2021 07:54:28 AM][ INFO    ] TSL storage extension loaded.
[06/11/2021 07:54:28 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/11/2021 07:54:28 AM][ INFO    ] No MemoryCloud extension found.
[06/11/2021 07:54:28 AM][ INFO    ] Scanning for startup tasks.
[06/11/2021 07:54:28 AM][ INFO    ] EventLoop: Starting.
[06/11/2021 07:54:28 AM][ INFO    ] Listening endpoint :5304
[06/11/2021 07:54:28 AM][ INFO    ] Waiting for client connection ...
[06/11/2021 07:54:28 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/11/2021 07:54:28 AM][ INFO    ] HTTP server listening on port 8081
[06/11/2021 07:54:28 AM][ INFO    ] *****************************************************
[06/11/2021 07:54:28 AM][ INFO    ] ServerCount: 0
[06/11/2021 07:54:28 AM][ INFO    ] ProxyCount: 0
[06/11/2021 07:54:28 AM][ INFO    ] *****************************************************
[06/11/2021 07:54:28 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/11/2021 07:54:28 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/11/2021 07:54:28 AM][ INFO    ] Initializing logging facility
[06/11/2021 07:54:28 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_47.dat
[06/11/2021 07:54:29 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/11/2021 07:54:29 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/11/2021 07:54:29 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/11/2021 07:54:29 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/11/2021 07:54:29 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/11/2021 07:54:29 AM][ INFO    ] LoggingLevel: Info
[06/11/2021 07:54:29 AM][ INFO    ] HttpPort:     8081
[06/11/2021 07:54:29 AM][ INFO    ] Server 0 is successfully started.
[06/11/2021 07:54:29 AM][ INFO    ] Resetting storage.
[06/11/2021 07:54:30 AM][ INFO    ] Reset storage complete, image version = 48
[06/11/2021 07:54:30 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_47.dat
[06/11/2021 07:54:30 AM][ INFO    ] Initializing logging facility
[06/11/2021 07:54:30 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_48.dat
[06/11/2021 07:54:30 AM][ INFO    ] Saving storage to [SLOT B]
[06/11/2021 07:54:33 AM][ INFO    ] Save storage complete, image version = 49.
[06/11/2021 07:54:33 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:54:33 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_48.dat
[06/11/2021 07:54:33 AM][ INFO    ] Saving cell type signatures.
[06/11/2021 07:54:33 AM][ INFO    ] Loading storage from [SLOT B]
[06/11/2021 07:54:35 AM][ INFO    ] Load storage complete, image version = 49
[06/11/2021 07:54:35 AM][ INFO    ] Initializing logging facility
[06/11/2021 07:54:35 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:54:35 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:54:35 AM][ INFO    ] Loading cell type signatures.
[06/11/2021 07:54:35 AM][ INFO    ] Loading storage from [SLOT B]
[06/11/2021 07:54:37 AM][ INFO    ] Load storage complete, image version = 49
[06/11/2021 07:54:37 AM][ INFO    ] Initializing logging facility
[06/11/2021 07:54:37 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:54:37 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:54:37 AM][ INFO    ] Loading cell type signatures.
[06/11/2021 07:55:00 AM][ INFO    ] Saving storage to [SLOT A]
[06/11/2021 07:55:03 AM][ INFO    ] Save storage complete, image version = 50.
[06/11/2021 07:55:03 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_50.dat
[06/11/2021 07:55:03 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_49.dat
[06/11/2021 07:55:04 AM][ INFO    ] Saving cell type signatures.
