[06/15/2021 07:04:55 AM][ INFO    ] Loading Graph Engine Extensions.
[06/15/2021 07:04:57 AM][ INFO    ] Scanning for TSL storage extension.
[06/15/2021 07:04:57 AM][ INFO    ] TSL storage extension loaded.
[06/15/2021 07:04:57 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/15/2021 07:04:57 AM][ INFO    ] No MemoryCloud extension found.
[06/15/2021 07:04:57 AM][ INFO    ] Scanning for startup tasks.
[06/15/2021 07:04:58 AM][ INFO    ] EventLoop: Starting.
[06/15/2021 07:04:58 AM][ INFO    ] Listening endpoint :5305
[06/15/2021 07:04:58 AM][ INFO    ] Waiting for client connection ...
[06/15/2021 07:04:58 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/15/2021 07:04:58 AM][ INFO    ] HTTP server listening on port 8081
[06/15/2021 07:04:58 AM][ INFO    ] *****************************************************
[06/15/2021 07:04:58 AM][ INFO    ] ServerCount: 0
[06/15/2021 07:04:58 AM][ INFO    ] ProxyCount: 0
[06/15/2021 07:04:58 AM][ INFO    ] *****************************************************
[06/15/2021 07:04:58 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/15/2021 07:04:58 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/15/2021 07:04:58 AM][ INFO    ] Initializing logging facility
[06/15/2021 07:04:58 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_118.dat
[06/15/2021 07:04:58 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/15/2021 07:04:58 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/15/2021 07:04:58 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/15/2021 07:04:58 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/15/2021 07:04:58 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/15/2021 07:04:58 AM][ INFO    ] LoggingLevel: Info
[06/15/2021 07:04:58 AM][ INFO    ] HttpPort:     8081
[06/15/2021 07:04:58 AM][ INFO    ] Server 0 is successfully started.
[06/15/2021 07:04:59 AM][ INFO    ] Loading storage from [SLOT B]
[06/15/2021 07:05:02 AM][ INFO    ] Load storage complete, image version = 117
[06/15/2021 07:05:02 AM][ INFO    ] Initializing logging facility
[06/15/2021 07:05:02 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_118.dat
[06/15/2021 07:05:02 AM][ INFO    ] Reading log file.
[06/15/2021 07:05:02 AM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/15/2021 07:05:02 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_117.dat
[06/15/2021 07:05:02 AM][ INFO    ] Loading cell type signatures.
[06/15/2021 07:05:31 AM][ INFO    ] Saving storage to [SLOT A]
[06/15/2021 07:05:34 AM][ INFO    ] Save storage complete, image version = 118.
[06/15/2021 07:05:34 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_118.dat
[06/15/2021 07:05:34 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_117.dat
[06/15/2021 07:05:34 AM][ INFO    ] Saving cell type signatures.
[06/15/2021 07:07:10 AM][ INFO    ] Saving storage to [SLOT B]
[06/15/2021 07:07:13 AM][ INFO    ] Save storage complete, image version = 119.
[06/15/2021 07:07:13 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_119.dat
[06/15/2021 07:07:13 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_118.dat
[06/15/2021 07:07:13 AM][ INFO    ] Saving cell type signatures.
