[06/11/2021 08:23:22 AM][ INFO    ] Loading Graph Engine Extensions.
[06/11/2021 08:23:24 AM][ INFO    ] Scanning for TSL storage extension.
[06/11/2021 08:23:24 AM][ INFO    ] TSL storage extension loaded.
[06/11/2021 08:23:24 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/11/2021 08:23:24 AM][ INFO    ] No MemoryCloud extension found.
[06/11/2021 08:23:24 AM][ INFO    ] Scanning for startup tasks.
[06/11/2021 08:23:24 AM][ INFO    ] EventLoop: Starting.
[06/11/2021 08:23:24 AM][ INFO    ] Listening endpoint :5304
[06/11/2021 08:23:24 AM][ INFO    ] Waiting for client connection ...
[06/11/2021 08:23:24 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/11/2021 08:23:24 AM][ INFO    ] HTTP server listening on port 8081
[06/11/2021 08:23:24 AM][ INFO    ] *****************************************************
[06/11/2021 08:23:24 AM][ INFO    ] ServerCount: 0
[06/11/2021 08:23:24 AM][ INFO    ] ProxyCount: 0
[06/11/2021 08:23:24 AM][ INFO    ] *****************************************************
[06/11/2021 08:23:24 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/11/2021 08:23:25 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/11/2021 08:23:25 AM][ INFO    ] Initializing logging facility
[06/11/2021 08:23:25 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_67.dat
[06/11/2021 08:23:25 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/11/2021 08:23:25 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/11/2021 08:23:25 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/11/2021 08:23:25 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/11/2021 08:23:25 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/11/2021 08:23:25 AM][ INFO    ] LoggingLevel: Info
[06/11/2021 08:23:25 AM][ INFO    ] HttpPort:     8081
[06/11/2021 08:23:25 AM][ INFO    ] Server 0 is successfully started.
[06/11/2021 08:23:25 AM][ INFO    ] Resetting storage.
[06/11/2021 08:23:25 AM][ INFO    ] Reset storage complete, image version = 68
[06/11/2021 08:23:26 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_67.dat
[06/11/2021 08:23:26 AM][ INFO    ] Initializing logging facility
[06/11/2021 08:23:26 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_68.dat
[06/11/2021 08:23:26 AM][ INFO    ] Saving storage to [SLOT B]
[06/11/2021 08:23:29 AM][ INFO    ] Save storage complete, image version = 69.
[06/11/2021 08:23:29 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_69.dat
[06/11/2021 08:23:29 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_68.dat
[06/11/2021 08:23:29 AM][ INFO    ] Saving cell type signatures.
[06/11/2021 08:23:29 AM][ INFO    ] Loading storage from [SLOT B]
[06/11/2021 08:23:32 AM][ INFO    ] Load storage complete, image version = 69
[06/11/2021 08:23:32 AM][ INFO    ] Initializing logging facility
[06/11/2021 08:23:32 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_69.dat
[06/11/2021 08:23:32 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_69.dat
