[06/14/2021 06:29:39 AM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 06:29:42 AM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 06:29:42 AM][ INFO    ] TSL storage extension loaded.
[06/14/2021 06:29:42 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 06:29:42 AM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 06:29:42 AM][ INFO    ] Scanning for startup tasks.
[06/14/2021 06:29:42 AM][ INFO    ] EventLoop: Starting.
[06/14/2021 06:29:42 AM][ INFO    ] Listening endpoint :5304
[06/14/2021 06:29:42 AM][ INFO    ] Waiting for client connection ...
[06/14/2021 06:29:42 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 06:29:42 AM][ INFO    ] HTTP server listening on port 8081
[06/14/2021 06:29:42 AM][ INFO    ] *****************************************************
[06/14/2021 06:29:42 AM][ INFO    ] ServerCount: 0
[06/14/2021 06:29:42 AM][ INFO    ] ProxyCount: 0
[06/14/2021 06:29:42 AM][ INFO    ] *****************************************************
[06/14/2021 06:29:42 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 06:29:43 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 06:29:43 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:29:43 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_82.dat
[06/14/2021 06:29:43 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 06:29:43 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 06:29:43 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 06:29:43 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 06:29:43 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 06:29:43 AM][ INFO    ] LoggingLevel: Info
[06/14/2021 06:29:43 AM][ INFO    ] HttpPort:     8081
[06/14/2021 06:29:43 AM][ INFO    ] Server 0 is successfully started.
[06/14/2021 06:29:43 AM][ INFO    ] Resetting storage.
[06/14/2021 06:29:44 AM][ INFO    ] Reset storage complete, image version = 83
[06/14/2021 06:29:44 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_82.dat
[06/14/2021 06:29:44 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:29:44 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_83.dat
[06/14/2021 06:29:44 AM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 06:29:47 AM][ INFO    ] Save storage complete, image version = 84.
[06/14/2021 06:29:47 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_84.dat
[06/14/2021 06:29:47 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_83.dat
[06/14/2021 06:29:47 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 06:29:48 AM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 06:29:50 AM][ INFO    ] Load storage complete, image version = 84
[06/14/2021 06:29:50 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:29:50 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_84.dat
[06/14/2021 06:29:50 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_84.dat
[06/14/2021 06:29:50 AM][ INFO    ] Loading cell type signatures.
[06/14/2021 06:29:50 AM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 06:29:53 AM][ INFO    ] Load storage complete, image version = 84
[06/14/2021 06:29:53 AM][ INFO    ] Initializing logging facility
[06/14/2021 06:29:53 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_84.dat
[06/14/2021 06:29:53 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_84.dat
[06/14/2021 06:29:53 AM][ INFO    ] Loading cell type signatures.
