[06/17/2021 09:23:23 AM][ INFO    ] Loading Graph Engine Extensions.
[06/17/2021 09:23:26 AM][ INFO    ] Scanning for TSL storage extension.
[06/17/2021 09:23:26 AM][ INFO    ] TSL storage extension loaded.
[06/17/2021 09:23:26 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/17/2021 09:23:26 AM][ INFO    ] No MemoryCloud extension found.
[06/17/2021 09:23:26 AM][ INFO    ] Scanning for startup tasks.
[06/17/2021 09:23:26 AM][ INFO    ] EventLoop: Starting.
[06/17/2021 09:23:26 AM][ INFO    ] Listening endpoint :5305
[06/17/2021 09:23:26 AM][ INFO    ] Waiting for client connection ...
[06/17/2021 09:23:26 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/17/2021 09:23:27 AM][ INFO    ] HTTP server listening on port 8081
[06/17/2021 09:23:27 AM][ INFO    ] *****************************************************
[06/17/2021 09:23:27 AM][ INFO    ] ServerCount: 0
[06/17/2021 09:23:27 AM][ INFO    ] ProxyCount: 0
[06/17/2021 09:23:27 AM][ INFO    ] *****************************************************
[06/17/2021 09:23:27 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
