[06/15/2021 01:04:28 PM][ INFO    ] Loading Graph Engine Extensions.
[06/15/2021 01:04:30 PM][ INFO    ] Scanning for TSL storage extension.
[06/15/2021 01:04:30 PM][ INFO    ] TSL storage extension loaded.
[06/15/2021 01:04:30 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/15/2021 01:04:30 PM][ INFO    ] No MemoryCloud extension found.
[06/15/2021 01:04:30 PM][ INFO    ] Scanning for startup tasks.
[06/15/2021 01:04:30 PM][ INFO    ] EventLoop: Starting.
[06/15/2021 01:04:30 PM][ INFO    ] Listening endpoint :5305
[06/15/2021 01:04:30 PM][ INFO    ] Waiting for client connection ...
[06/15/2021 01:04:30 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/15/2021 01:04:30 PM][ INFO    ] HTTP server listening on port 8081
[06/15/2021 01:04:30 PM][ INFO    ] *****************************************************
[06/15/2021 01:04:30 PM][ INFO    ] ServerCount: 0
[06/15/2021 01:04:30 PM][ INFO    ] ProxyCount: 0
[06/15/2021 01:04:30 PM][ INFO    ] *****************************************************
[06/15/2021 01:04:30 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/15/2021 01:04:31 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/15/2021 01:04:31 PM][ INFO    ] Initializing logging facility
[06/15/2021 01:04:31 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_120.dat
[06/15/2021 01:04:31 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/15/2021 01:04:31 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/15/2021 01:04:31 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/15/2021 01:04:31 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/15/2021 01:04:31 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/15/2021 01:04:31 PM][ INFO    ] LoggingLevel: Info
[06/15/2021 01:04:31 PM][ INFO    ] HttpPort:     8081
[06/15/2021 01:04:31 PM][ INFO    ] Server 0 is successfully started.
[06/15/2021 01:04:31 PM][ INFO    ] Loading storage from [SLOT B]
[06/15/2021 01:04:33 PM][ INFO    ] Load storage complete, image version = 119
[06/15/2021 01:04:33 PM][ INFO    ] Initializing logging facility
[06/15/2021 01:04:33 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_120.dat
[06/15/2021 01:04:33 PM][ INFO    ] Reading log file.
[06/15/2021 01:04:33 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/15/2021 01:04:33 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_119.dat
[06/15/2021 01:04:33 PM][ INFO    ] Loading cell type signatures.
[06/15/2021 01:04:41 PM][ INFO    ] Saving storage to [SLOT A]
[06/15/2021 01:04:44 PM][ INFO    ] Save storage complete, image version = 120.
[06/15/2021 01:04:44 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_120.dat
[06/15/2021 01:04:44 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_119.dat
[06/15/2021 01:04:44 PM][ INFO    ] Saving cell type signatures.
