[06/15/2021 01:20:50 PM][ INFO    ] Loading Graph Engine Extensions.
[06/15/2021 01:20:51 PM][ INFO    ] Scanning for TSL storage extension.
[06/15/2021 01:20:52 PM][ INFO    ] TSL storage extension loaded.
[06/15/2021 01:20:52 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/15/2021 01:20:52 PM][ INFO    ] No MemoryCloud extension found.
[06/15/2021 01:20:52 PM][ INFO    ] Scanning for startup tasks.
[06/15/2021 01:20:52 PM][ INFO    ] EventLoop: Starting.
[06/15/2021 01:20:52 PM][ INFO    ] Listening endpoint :5305
[06/15/2021 01:20:52 PM][ INFO    ] Waiting for client connection ...
[06/15/2021 01:20:52 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5305
[06/15/2021 01:20:52 PM][ INFO    ] HTTP server listening on port 8081
[06/15/2021 01:20:52 PM][ INFO    ] *****************************************************
[06/15/2021 01:20:52 PM][ INFO    ] ServerCount: 0
[06/15/2021 01:20:52 PM][ INFO    ] ProxyCount: 0
[06/15/2021 01:20:52 PM][ INFO    ] *****************************************************
[06/15/2021 01:20:52 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/15/2021 01:20:52 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/15/2021 01:20:52 PM][ INFO    ] Initializing logging facility
[06/15/2021 01:20:52 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_123.dat
[06/15/2021 01:20:52 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/15/2021 01:20:52 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/15/2021 01:20:52 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\
[06/15/2021 01:20:52 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\
[06/15/2021 01:20:52 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/15/2021 01:20:52 PM][ INFO    ] LoggingLevel: Info
[06/15/2021 01:20:52 PM][ INFO    ] HttpPort:     8081
[06/15/2021 01:20:52 PM][ INFO    ] Server 0 is successfully started.
[06/15/2021 01:20:52 PM][ INFO    ] Loading storage from [SLOT A]
[06/15/2021 01:20:54 PM][ INFO    ] Load storage complete, image version = 122
[06/15/2021 01:20:54 PM][ INFO    ] Initializing logging facility
[06/15/2021 01:20:54 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_123.dat
[06/15/2021 01:20:54 PM][ INFO    ] Reading log file.
[06/15/2021 01:20:54 PM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/15/2021 01:20:55 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_122.dat
[06/15/2021 01:20:55 PM][ INFO    ] Loading cell type signatures.
[06/15/2021 01:20:55 PM][ INFO    ] Saving storage to [SLOT B]
[06/15/2021 01:20:57 PM][ INFO    ] Save storage complete, image version = 123.
[06/15/2021 01:20:57 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_123.dat
[06/15/2021 01:20:57 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.KMSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_122.dat
[06/15/2021 01:20:57 PM][ INFO    ] Saving cell type signatures.
