[06/14/2021 07:03:34 AM][ INFO    ] Loading Graph Engine Extensions.
[06/14/2021 07:03:36 AM][ INFO    ] Scanning for TSL storage extension.
[06/14/2021 07:03:36 AM][ INFO    ] TSL storage extension loaded.
[06/14/2021 07:03:36 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/14/2021 07:03:36 AM][ INFO    ] No MemoryCloud extension found.
[06/14/2021 07:03:36 AM][ INFO    ] Scanning for startup tasks.
[06/14/2021 07:03:36 AM][ INFO    ] EventLoop: Starting.
[06/14/2021 07:03:37 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/14/2021 07:03:37 AM][ INFO    ] Initializing logging facility
[06/14/2021 07:03:37 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_43.dat
[06/14/2021 07:03:37 AM][ INFO    ] Resetting storage.
[06/14/2021 07:03:38 AM][ INFO    ] Reset storage complete, image version = 44
[06/14/2021 07:03:38 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_43.dat
[06/14/2021 07:03:38 AM][ INFO    ] Initializing logging facility
[06/14/2021 07:03:38 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_44.dat
[06/14/2021 07:03:38 AM][ INFO    ] Saving storage to [SLOT A]
[06/14/2021 07:03:40 AM][ INFO    ] Save storage complete, image version = 45.
[06/14/2021 07:03:40 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_45.dat
[06/14/2021 07:03:40 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_44.dat
[06/14/2021 07:03:40 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 07:03:40 AM][ INFO    ] Loading storage from [SLOT A]
[06/14/2021 07:03:43 AM][ INFO    ] Load storage complete, image version = 45
[06/14/2021 07:03:43 AM][ INFO    ] Initializing logging facility
[06/14/2021 07:03:43 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_45.dat
[06/14/2021 07:03:43 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_45.dat
[06/14/2021 07:03:43 AM][ INFO    ] Loading cell type signatures.
[06/14/2021 07:03:43 AM][ INFO    ] Saving storage to [SLOT B]
[06/14/2021 07:03:45 AM][ INFO    ] Save storage complete, image version = 46.
[06/14/2021 07:03:45 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_46.dat
[06/14/2021 07:03:45 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_45.dat
[06/14/2021 07:03:45 AM][ INFO    ] Saving cell type signatures.
[06/14/2021 07:03:45 AM][ INFO    ] Listening endpoint :5304
[06/14/2021 07:03:45 AM][ INFO    ] Waiting for client connection ...
[06/14/2021 07:03:45 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/14/2021 07:03:45 AM][ INFO    ] HTTP server listening on port 8080
[06/14/2021 07:03:45 AM][ INFO    ] *****************************************************
[06/14/2021 07:03:45 AM][ INFO    ] ServerCount: 0
[06/14/2021 07:03:45 AM][ INFO    ] ProxyCount: 0
[06/14/2021 07:03:45 AM][ INFO    ] *****************************************************
[06/14/2021 07:03:45 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/14/2021 07:03:45 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/14/2021 07:03:45 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/14/2021 07:03:46 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\
[06/14/2021 07:03:46 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\
[06/14/2021 07:03:46 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/14/2021 07:03:46 AM][ INFO    ] LoggingLevel: Info
[06/14/2021 07:03:46 AM][ INFO    ] HttpPort:     8080
[06/14/2021 07:03:46 AM][ INFO    ] Server 0 is successfully started.
