[06/15/2021 07:05:09 AM][ INFO    ] Loading Graph Engine Extensions.
[06/15/2021 07:05:10 AM][ INFO    ] Scanning for TSL storage extension.
[06/15/2021 07:05:11 AM][ INFO    ] TSL storage extension loaded.
[06/15/2021 07:05:11 AM][ INFO    ] Scanning for MemoryCloud extensions.
[06/15/2021 07:05:11 AM][ INFO    ] No MemoryCloud extension found.
[06/15/2021 07:05:11 AM][ INFO    ] Scanning for startup tasks.
[06/15/2021 07:05:11 AM][ INFO    ] EventLoop: Starting.
[06/15/2021 07:05:11 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/15/2021 07:05:11 AM][ INFO    ] Initializing logging facility
[06/15/2021 07:05:11 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_59.dat
[06/15/2021 07:05:11 AM][ INFO    ] Loading storage from [SLOT B]
[06/15/2021 07:05:16 AM][ INFO    ] Load storage complete, image version = 58
[06/15/2021 07:05:16 AM][ INFO    ] Initializing logging facility
[06/15/2021 07:05:16 AM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_59.dat
[06/15/2021 07:05:16 AM][ INFO    ] Reading log file.
[06/15/2021 07:05:16 AM][ INFO    ] Write-ahead-log successfully loaded. Recovered 0 records.
[06/15/2021 07:05:16 AM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_58.dat
[06/15/2021 07:05:16 AM][ INFO    ] Loading cell type signatures.
[06/15/2021 07:05:16 AM][ INFO    ] Listening endpoint :5304
[06/15/2021 07:05:16 AM][ INFO    ] Waiting for client connection ...
[06/15/2021 07:05:16 AM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/15/2021 07:05:16 AM][ INFO    ] HTTP server listening on port 8080
[06/15/2021 07:05:16 AM][ INFO    ] *****************************************************
[06/15/2021 07:05:16 AM][ INFO    ] ServerCount: 0
[06/15/2021 07:05:16 AM][ INFO    ] ProxyCount: 0
[06/15/2021 07:05:16 AM][ INFO    ] *****************************************************
[06/15/2021 07:05:16 AM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/15/2021 07:05:16 AM][ INFO    ] Scanning for auto-registered communication modules.
[06/15/2021 07:05:16 AM][ INFO    ] Checking Server-Server protocol signatures...
[06/15/2021 07:05:16 AM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\
[06/15/2021 07:05:16 AM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\
[06/15/2021 07:05:16 AM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/15/2021 07:05:16 AM][ INFO    ] LoggingLevel: Info
[06/15/2021 07:05:16 AM][ INFO    ] HttpPort:     8080
[06/15/2021 07:05:16 AM][ INFO    ] Server 0 is successfully started.
