[06/08/2021 03:26:28 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 03:26:29 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 03:26:30 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 03:26:30 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 03:26:30 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 03:26:30 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 03:26:30 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 03:26:30 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 03:26:30 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:26:30 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_35.dat
[06/08/2021 03:26:31 PM][ INFO    ] Resetting storage.
[06/08/2021 03:26:31 PM][ INFO    ] Reset storage complete, image version = 36
[06/08/2021 03:26:31 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_35.dat
[06/08/2021 03:26:31 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:26:31 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_36.dat
[06/08/2021 03:26:32 PM][ INFO    ] Saving storage to [SLOT A]
[06/08/2021 03:26:35 PM][ INFO    ] Save storage complete, image version = 37.
[06/08/2021 03:26:35 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_37.dat
[06/08/2021 03:26:35 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_36.dat
[06/08/2021 03:26:35 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 03:26:35 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 03:26:37 PM][ INFO    ] Load storage complete, image version = 37
[06/08/2021 03:26:37 PM][ INFO    ] Initializing logging facility
[06/08/2021 03:26:37 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_37.dat
[06/08/2021 03:26:37 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_37.dat
[06/08/2021 03:26:37 PM][ INFO    ] Loading cell type signatures.
[06/08/2021 03:26:38 PM][ INFO    ] Saving storage to [SLOT B]
[06/08/2021 03:26:42 PM][ INFO    ] Save storage complete, image version = 38.
[06/08/2021 03:26:42 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_38.dat
[06/08/2021 03:26:42 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_37.dat
[06/08/2021 03:26:43 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 03:26:43 PM][ INFO    ] Listening endpoint :5304
[06/08/2021 03:26:43 PM][ INFO    ] Waiting for client connection ...
[06/08/2021 03:26:43 PM][ INFO    ] My IPEndPoint: 192.168.1.245:5304
[06/08/2021 03:26:43 PM][ ERROR   ] Failed to start HTTP server. HTTP endpoints are disabled.
[06/08/2021 03:26:43 PM][ INFO    ] *****************************************************
[06/08/2021 03:26:43 PM][ INFO    ] ServerCount: 0
[06/08/2021 03:26:43 PM][ INFO    ] ProxyCount: 0
[06/08/2021 03:26:43 PM][ INFO    ] *****************************************************
[06/08/2021 03:26:43 PM][ WARNING ] No distributed instances configured. Turning on local test mode.
[06/08/2021 03:26:43 PM][ INFO    ] Scanning for auto-registered communication modules.
[06/08/2021 03:26:43 PM][ INFO    ] Checking Server-Server protocol signatures...
[06/08/2021 03:26:43 PM][ INFO    ] Working Directory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\
[06/08/2021 03:26:43 PM][ INFO    ] StorageRoot : C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\
[06/08/2021 03:26:43 PM][ INFO    ] LogDirectory: C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\trinity-log
[06/08/2021 03:26:43 PM][ INFO    ] LoggingLevel: Info
[06/08/2021 03:26:43 PM][ INFO    ] HttpPort:     80
[06/08/2021 03:26:43 PM][ INFO    ] Server 0 is successfully started.
[06/08/2021 03:26:43 PM][ ERROR   ] CommunicationInstance: System.InvalidOperationException: Cannot start multiple communication instances.
   at Trinity.Global.set_CommunicationInstance(CommunicationInstance value)
   at Trinity.Network.CommunicationInstance.Start()
