[07/13/2021 10:43:52 AM][ INFO    ] Loading Graph Engine Extensions.
[07/13/2021 10:43:55 AM][ INFO    ] Scanning for TSL storage extension.
[07/13/2021 10:43:56 AM][ INFO    ] TSL storage extension loaded.
[07/13/2021 10:43:56 AM][ INFO    ] Scanning for MemoryCloud extensions.
[07/13/2021 10:43:56 AM][ INFO    ] No MemoryCloud extension found.
[07/13/2021 10:43:56 AM][ INFO    ] Scanning for startup tasks.
[07/13/2021 10:43:56 AM][ INFO    ] EventLoop: Starting.
[07/13/2021 10:43:56 AM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[07/13/2021 10:43:56 AM][ INFO    ] Initializing logging facility
[07/13/2021 10:43:56 AM][ INFO    ] Creating write-ahead log file C:\TDW\TrustedDigitalWeb\TDW.Servers\TDW.TRATester\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_0.dat
