[06/08/2021 12:40:24 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 12:40:26 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 12:40:26 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 12:40:26 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 12:40:26 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 12:40:26 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 12:40:26 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 12:40:26 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 12:40:26 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:40:26 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_5.dat
[06/08/2021 12:40:27 PM][ INFO    ] Resetting storage.
[06/08/2021 12:40:27 PM][ INFO    ] Reset storage complete, image version = 6
[06/08/2021 12:40:27 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_5.dat
[06/08/2021 12:40:27 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:40:27 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_6.dat
[06/08/2021 12:40:27 PM][ INFO    ] Saving storage to [SLOT A]
[06/08/2021 12:40:30 PM][ INFO    ] Save storage complete, image version = 7.
[06/08/2021 12:40:30 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_7.dat
[06/08/2021 12:40:30 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_6.dat
[06/08/2021 12:40:30 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 12:40:30 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 12:40:33 PM][ INFO    ] Load storage complete, image version = 7
[06/08/2021 12:40:33 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:40:33 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_7.dat
[06/08/2021 12:40:33 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_7.dat
[06/08/2021 12:40:33 PM][ INFO    ] Loading cell type signatures.
