[06/08/2021 12:42:14 PM][ INFO    ] Loading Graph Engine Extensions.
[06/08/2021 12:42:15 PM][ INFO    ] Scanning for TSL storage extension.
[06/08/2021 12:42:15 PM][ INFO    ] TSL storage extension loaded.
[06/08/2021 12:42:15 PM][ INFO    ] Scanning for MemoryCloud extensions.
[06/08/2021 12:42:15 PM][ INFO    ] No MemoryCloud extension found.
[06/08/2021 12:42:15 PM][ INFO    ] Scanning for startup tasks.
[06/08/2021 12:42:15 PM][ INFO    ] EventLoop: Starting.
[06/08/2021 12:42:16 PM][ INFO    ] LocalMemoryStorage is initialized in read-write mode
[06/08/2021 12:42:16 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:42:16 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_11.dat
[06/08/2021 12:42:16 PM][ INFO    ] Resetting storage.
[06/08/2021 12:42:16 PM][ INFO    ] Reset storage complete, image version = 12
[06/08/2021 12:42:16 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_11.dat
[06/08/2021 12:42:16 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:42:16 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_12.dat
[06/08/2021 12:42:16 PM][ INFO    ] Saving storage to [SLOT A]
[06/08/2021 12:42:19 PM][ INFO    ] Save storage complete, image version = 13.
[06/08/2021 12:42:19 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_13.dat
[06/08/2021 12:42:19 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_12.dat
[06/08/2021 12:42:19 PM][ INFO    ] Saving cell type signatures.
[06/08/2021 12:42:19 PM][ INFO    ] Loading storage from [SLOT A]
[06/08/2021 12:42:22 PM][ INFO    ] Load storage complete, image version = 13
[06/08/2021 12:42:22 PM][ INFO    ] Initializing logging facility
[06/08/2021 12:42:22 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_13.dat
[06/08/2021 12:42:22 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_13.dat
[06/08/2021 12:42:22 PM][ INFO    ] Loading cell type signatures.
[06/08/2021 12:42:28 PM][ INFO    ] Saving storage to [SLOT B]
[06/08/2021 12:42:30 PM][ INFO    ] Save storage complete, image version = 14.
[06/08/2021 12:42:30 PM][ INFO    ] Creating write-ahead log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\B\write_ahead_log\primary_storage_log_14.dat
[06/08/2021 12:42:30 PM][ INFO    ] Dropping write-ahead-log file C:\GE\TDW.TCSServer\TDW.TCSServer\bin\Debug\netcoreapp3.1\storage\A\write_ahead_log\primary_storage_log_13.dat
[06/08/2021 12:42:30 PM][ INFO    ] Saving cell type signatures.
